verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,50,0.1,,cifar10_by_others.csv,1,,False,False,True,True,0.312,0.1685,0.4065,0.781,0.8675,0.5071000000000001
False,50,0.1,,cifar10_by_others.csv,1,,False,False,True,False,0.321,0.155,0.4035,0.827,0.836,0.5085
False,50,0.1,,cifar10_by_others.csv,1,,False,False,False,True,0.3345,0.178,0.529,0.691,0.742,0.4949
False,50,0.1,,cifar10_by_others.csv,1,,False,False,False,False,0.2795,0.103,0.559,0.7095,0.7135,0.4729
False,50,0.1,,cifar10_by_others.csv,1,1,False,False,True,True,0.2875,0.1205,0.383,0.7545,0.848,0.4787
False,50,0.1,,cifar10_by_others.csv,1,1,False,False,True,False,0.3035,0.1245,0.4355,0.7865,0.8515,0.5003
False,50,0.1,,cifar10_by_others.csv,1,1,False,False,False,True,0.238,0.102,0.5225,0.6975,0.8095,0.4739
False,50,0.1,,cifar10_by_others.csv,1,1,False,False,False,False,0.3015,0.144,0.451,0.759,0.746,0.4803
False,50,0.1,,cifar10_by_others.csv,1,2,False,False,True,True,0.287,0.1175,0.3715,0.7915,0.864,0.48629999999999995
False,50,0.1,,cifar10_by_others.csv,1,2,False,False,True,False,0.291,0.1265,0.38,0.7815,0.8835,0.4925
False,50,0.1,,cifar10_by_others.csv,1,2,False,False,False,True,0.2015,0.049,0.2235,0.7875,0.822,0.41669999999999996
False,50,0.1,,cifar10_by_others.csv,1,2,False,False,False,False,0.3645,0.184,0.541,0.7135,0.603,0.4812
False,50,0.1,,cifar10_by_others.csv,4,,False,False,True,True,0.292,0.1875,0.485,0.6665,0.8695,0.5001
False,50,0.1,,cifar10_by_others.csv,4,,False,False,True,False,0.2675,0.126,0.426,0.801,0.878,0.4997
False,50,0.1,,cifar10_by_others.csv,4,,False,False,False,True,0.165,0.185,0.4455,0.6975,0.8675,0.4721
False,50,0.1,,cifar10_by_others.csv,4,,False,False,False,False,0.2915,0.1755,0.5425,0.7045,0.7405,0.4909
False,50,0.1,,cifar10_by_others.csv,4,1,False,False,True,True,0.3,0.138,0.418,0.777,0.872,0.501
False,50,0.1,,cifar10_by_others.csv,4,1,False,False,True,False,0.272,0.142,0.4375,0.7895,0.8705,0.5023
False,50,0.1,,cifar10_by_others.csv,4,1,False,False,False,True,0.2235,0.1285,0.3775,0.7775,0.754,0.45220000000000005
False,50,0.1,,cifar10_by_others.csv,4,1,False,False,False,False,0.287,0.1735,0.482,0.723,0.7615,0.48539999999999994
False,50,0.1,,cifar10_by_others.csv,4,2,False,False,True,True,0.2695,0.1445,0.4265,0.769,0.8785,0.4976
False,50,0.1,,cifar10_by_others.csv,4,2,False,False,True,False,0.3095,0.1355,0.439,0.781,0.87,0.507
False,50,0.1,,cifar10_by_others.csv,4,2,False,False,False,True,0.293,0.227,0.514,0.6205,0.731,0.47709999999999997
False,50,0.1,,cifar10_by_others.csv,4,2,False,False,False,False,0.3305,0.1375,0.439,0.7285,0.731,0.47329999999999994
False,50,0.2,,cifar10_by_others.csv,1,,False,False,True,True,0.471,0.2545,0.5315,0.743,0.8435,0.5687
False,50,0.2,,cifar10_by_others.csv,1,,False,False,True,False,0.4705,0.2425,0.5145,0.7675,0.849,0.5688000000000001
False,50,0.2,,cifar10_by_others.csv,1,,False,False,False,True,0.41,0.2765,0.458,0.682,0.779,0.5211
False,50,0.2,,cifar10_by_others.csv,1,,False,False,False,False,0.551,0.28,0.4845,0.6925,0.646,0.5307999999999999
False,50,0.2,,cifar10_by_others.csv,1,1,False,False,True,True,0.521,0.285,0.5165,0.7765,0.8145,0.5827
False,50,0.2,,cifar10_by_others.csv,1,1,False,False,True,False,0.5055,0.271,0.5295,0.793,0.8265,0.5851000000000001
False,50,0.2,,cifar10_by_others.csv,1,1,False,False,True,False,0.5025,0.2585,0.5335,0.8035,0.827,0.585
False,50,0.2,,cifar10_by_others.csv,1,1,False,False,False,True,0.0,0.0,0.0,0.0,0.915,0.183
False,50,0.2,,cifar10_by_others.csv,1,1,False,False,False,False,0.4305,0.2335,0.424,0.725,0.736,0.5098
False,50,0.2,,cifar10_by_others.csv,1,2,False,False,True,True,0.449,0.2225,0.5425,0.7705,0.82,0.5609
False,50,0.2,,cifar10_by_others.csv,1,2,False,False,True,False,0.452,0.2555,0.503,0.7655,0.8445,0.5641
False,50,0.2,,cifar10_by_others.csv,1,2,False,False,False,True,0.4775,0.3155,0.509,0.682,0.7105,0.5389
False,50,0.2,,cifar10_by_others.csv,1,2,False,False,False,False,0.424,0.3155,0.4365,0.6725,0.761,0.5219
False,50,0.2,,cifar10_by_others.csv,4,,False,False,True,True,0.5075,0.288,0.5045,0.7865,0.855,0.5883
False,50,0.2,,cifar10_by_others.csv,4,,False,False,True,False,0.4645,0.2655,0.543,0.7605,0.8395,0.5746
False,50,0.2,,cifar10_by_others.csv,4,,False,False,False,True,0.4125,0.2495,0.473,0.725,0.7315,0.5183
False,50,0.2,,cifar10_by_others.csv,4,,False,False,False,False,0.4325,0.3,0.562,0.616,0.731,0.5283
False,50,0.2,,cifar10_by_others.csv,4,1,False,False,True,True,0.489,0.2565,0.5375,0.772,0.828,0.5765999999999999
False,50,0.2,,cifar10_by_others.csv,4,1,False,False,True,False,0.463,0.253,0.524,0.782,0.8435,0.5731
False,50,0.2,,cifar10_by_others.csv,4,1,False,False,False,True,0.455,0.2375,0.5125,0.759,0.7025,0.5333
False,50,0.2,,cifar10_by_others.csv,4,1,False,False,False,False,0.4435,0.237,0.4745,0.764,0.624,0.5086
False,50,0.2,,cifar10_by_others.csv,4,2,False,False,True,True,0.4735,0.2605,0.552,0.7365,0.839,0.5723
False,50,0.2,,cifar10_by_others.csv,4,2,False,False,True,False,0.552,0.2375,0.5665,0.739,0.809,0.5808000000000001
False,50,0.2,,cifar10_by_others.csv,4,2,False,False,False,True,0.4115,0.2815,0.5975,0.605,0.734,0.5259
False,50,0.2,,cifar10_by_others.csv,4,2,False,False,False,False,0.4925,0.309,0.5355,0.658,0.6985,0.5387000000000001
False,50,0.2,,cifar10_by_others.csv,1,1,False,True,True,False,0.0115,0.0945,0.3415,0.75,0.9185,0.4232
False,50,0.2,,cifar10_by_others.csv,1,1,False,True,False,True,0.008,0.054,0.3015,0.804,0.866,0.4067
False,50,0.2,,cifar10_by_others.csv,1,1,False,True,False,False,0.046,0.1865,0.4015,0.694,0.8675,0.4391
False,50,0.2,,cifar10_by_others.csv,1,2,False,True,True,True,0.014,0.099,0.3535,0.7675,0.9185,0.4305
False,50,0.2,,cifar10_by_others.csv,1,2,False,True,True,False,0.0175,0.118,0.408,0.851,0.883,0.45549999999999996
False,50,0.2,,cifar10_by_others.csv,1,2,False,True,False,True,0.0085,0.1,0.3105,0.7555,0.8895,0.4128
False,50,0.2,,cifar10_by_others.csv,1,2,False,True,False,False,0.056,0.2085,0.436,0.676,0.828,0.44089999999999996
False,50,0.2,,cifar10_by_others.csv,4,,False,True,True,True,0.0105,0.106,0.3435,0.7915,0.916,0.4335
False,50,0.2,,cifar10_by_others.csv,4,,False,True,True,False,0.008,0.0995,0.3555,0.769,0.9165,0.42969999999999997
False,50,0.2,,cifar10_by_others.csv,4,,False,True,False,True,0.01,0.076,0.376,0.701,0.889,0.41039999999999993
False,50,0.2,,cifar10_by_others.csv,4,,False,True,False,False,0.025,0.1455,0.433,0.747,0.85,0.4401
False,50,0.2,,cifar10_by_others.csv,4,1,False,True,True,True,0.014,0.103,0.3625,0.7845,0.9155,0.4359
False,50,0.2,,cifar10_by_others.csv,4,1,False,True,True,False,0.019,0.1125,0.367,0.753,0.894,0.42910000000000004
False,50,0.2,,cifar10_by_others.csv,4,1,False,True,False,True,0.02,0.097,0.3565,0.7795,0.8615,0.4229
False,50,0.2,,cifar10_by_others.csv,4,1,False,True,False,False,0.0105,0.061,0.4705,0.6865,0.9105,0.42779999999999996
False,50,0.2,,cifar10_by_others.csv,4,2,False,True,True,True,0.016,0.131,0.379,0.7895,0.899,0.4429
False,50,0.2,,cifar10_by_others.csv,4,2,False,True,True,False,0.006,0.085,0.3315,0.787,0.9195,0.4258
False,50,0.2,,cifar10_by_others.csv,4,2,False,True,False,True,0.0265,0.1145,0.4115,0.7455,0.849,0.42940000000000006
False,50,0.2,,cifar10_by_others.csv,4,2,False,True,False,False,0.0445,0.201,0.473,0.6995,0.817,0.44699999999999995
