verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.05,,mnist_contitonal_all.csv,1,,True,False,True,True,0.8926713947990543,0.7943192948090108,0.7171824973319103,0.8272910372608258,0.9813414019162885,0.842561125223418
False,20,0.05,,mnist_contitonal_all.csv,1,,True,False,True,False,0.5456264775413712,0.8349657198824681,0.6766275346851655,0.8997985901309165,0.9762985375693394,0.7866633719618521
False,20,0.05,,mnist_contitonal_all.csv,1,,False,False,True,True,0.9593380614657211,0.8829578844270323,0.844717182497332,0.9300100704934542,0.9843671205244579,0.9202780638815995
False,20,0.05,,mnist_contitonal_all.csv,1,,False,False,True,False,0.9541371158392435,0.8702252693437806,0.875667022411953,0.9431017119838873,0.9823499747856783,0.9250962188729085
False,20,0.05,,mnist_contitonal_all.csv,1,1,True,False,True,True,0.5380614657210402,0.7820763956904995,0.6179295624332978,0.8328298086606244,0.983358547655068,0.7508511560321061
False,20,0.05,,mnist_contitonal_all.csv,1,1,True,False,True,False,0.840661938534279,0.8080313418217434,0.6862326574172892,0.9340382678751259,0.9808371154815936,0.8499602642260061
False,20,0.05,,mnist_contitonal_all.csv,1,1,False,False,True,True,0.9479905437352246,0.8756121449559255,0.8393810032017076,0.9305135951661632,0.9657085224407463,0.9118411618999535
False,20,0.05,,mnist_contitonal_all.csv,1,1,False,False,True,False,0.9536643026004729,0.8658178256611165,0.8676627534685165,0.9300100704934542,0.9808371154815936,0.9195984135410307
False,20,0.05,,mnist_contitonal_all.csv,1,2,True,False,True,True,0.7106382978723405,0.8001958863858962,0.6227321237993596,0.7930513595166163,0.978315683308119,0.7809866701764664
False,20,0.05,,mnist_contitonal_all.csv,1,2,True,False,True,False,0.5768321513002365,0.742409402546523,0.5416221985058698,0.8544813695871097,0.983358547655068,0.7397407339189613
False,20,0.05,,mnist_contitonal_all.csv,1,2,False,False,True,True,0.9593380614657211,0.8726738491674828,0.8319103521878335,0.9436052366565961,0.9788199697428139,0.9172694938440895
False,20,0.05,,mnist_contitonal_all.csv,1,2,False,False,True,False,0.9290780141843972,0.8521057786483839,0.8500533617929562,0.9420946626384693,0.9803328290468987,0.910732929262221
False,20,0.05,,mnist_contitonal_all.csv,2,,True,False,True,True,0.932387706855792,0.7845249755142018,0.676093916755603,0.8746223564954683,0.9808371154815936,0.8496932142205317
False,20,0.05,,mnist_contitonal_all.csv,2,,True,False,True,False,0.7574468085106383,0.7722820763956905,0.740128068303095,0.8992950654582075,0.9757942511346445,0.8289892539604551
False,20,0.05,,mnist_contitonal_all.csv,2,,False,False,True,True,0.9602836879432625,0.8751224289911851,0.8025613660618997,0.8851963746223565,0.9808371154815936,0.9008001946200593
False,20,0.05,,mnist_contitonal_all.csv,2,,False,False,True,False,0.9555555555555556,0.8682664054848188,0.8596584845250801,0.9033232628398792,0.9752899646999496,0.9124187346210567
False,20,0.05,,mnist_contitonal_all.csv,2,1,True,False,True,True,0.8624113475177305,0.8290891283055828,0.6595517609391676,0.7824773413897281,0.9818456883509834,0.8230750533006385
False,20,0.05,,mnist_contitonal_all.csv,2,1,True,False,True,False,0.7040189125295508,0.807541625857003,0.6643543223052295,0.9128902316213494,0.9788199697428139,0.8135250124111894
False,20,0.05,,mnist_contitonal_all.csv,2,1,False,False,True,True,0.956501182033097,0.8775710088148874,0.8767342582710779,0.9269889224572004,0.9793242561775088,0.9234239255507543
False,20,0.05,,mnist_contitonal_all.csv,2,1,False,False,True,False,0.9484633569739953,0.8770812928501469,0.8745997865528282,0.9249748237663645,0.9798285426122038,0.9209895605511077
False,20,0.05,,mnist_contitonal_all.csv,2,2,True,False,True,True,0.8926713947990543,0.7605288932419196,0.6926360725720384,0.9249748237663645,0.9778113968734241,0.8497245162505603
False,20,0.05,,mnist_contitonal_all.csv,2,2,True,False,True,False,0.5442080378250591,0.6762977473065622,0.6611526147278548,0.8403826787512588,0.9757942511346445,0.7395670659490758
False,20,0.05,,mnist_contitonal_all.csv,2,2,False,False,True,True,0.9612293144208038,0.8775710088148874,0.8655282817502669,0.9199395770392749,0.9737771053958648,0.9196090574842195
