verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.01,,mnist_replay.csv,1,,False,False,True,True,0.858628841607565,0.6498530852105778,0.6905016008537886,0.7890231621349446,0.9702471003530005,0.7916507580319754
False,20,0.01,,mnist_replay.csv,1,,False,False,True,False,0.8964539007092198,0.7473065621939275,0.6942369263607258,0.7588116817724069,0.9737771053958648,0.814117235286429
False,20,0.01,,mnist_replay.csv,1,1,False,False,True,True,0.8614657210401891,0.7066601371204702,0.6419423692636073,0.7608257804632427,0.9626828038325769,0.7867153623440173
False,20,0.01,,mnist_replay.csv,1,1,False,False,True,False,0.8676122931442081,0.6958863858961802,0.6899679829242262,0.7124874118831823,0.9682299546142209,0.7868368056924037
False,20,0.01,,mnist_replay.csv,1,2,False,False,True,True,0.8775413711583925,0.6885406464250735,0.7267876200640342,0.7724068479355488,0.9657085224407463,0.806197001604759
False,20,0.01,,mnist_replay.csv,1,2,False,False,True,False,0.8836879432624114,0.6777668952007836,0.67982924226254,0.8272910372608258,0.9692385274836107,0.8075627290940343
False,20,0.01,,mnist_replay.csv,4,,False,False,True,True,0.8657210401891253,0.7296767874632712,0.6462113127001067,0.8076535750251762,0.9808371154815936,0.8060199661718546
False,20,0.01,,mnist_replay.csv,4,,False,False,True,False,0.8907801418439716,0.7179236043095005,0.7161152614727855,0.7275931520644512,0.9445284921835603,0.7993881303748538
False,20,0.01,,mnist_replay.csv,4,1,False,False,True,True,0.893144208037825,0.7791380999020568,0.6942369263607258,0.8066465256797583,0.9732728189611699,0.8292877157883071
False,20,0.01,,mnist_replay.csv,4,1,False,False,True,False,0.915839243498818,0.7375122428991185,0.731590181430096,0.8016112789526687,0.9415027735753908,0.8256111440712184
False,20,0.01,,mnist_replay.csv,4,2,False,False,True,True,0.8869976359338061,0.7291870714985309,0.6985058697972252,0.8227593152064451,0.9747856782652546,0.8224471141402523
False,20,0.01,,mnist_replay.csv,4,2,False,False,True,False,0.9011820330969267,0.7311459353574926,0.7001067235859125,0.798590130916415,0.9687342410489158,0.8199518128011325
False,20,0.05,,mnist_replay.csv,1,,False,False,True,True,0.9394799054373523,0.8971596474045054,0.9119530416221985,0.8635448136958711,0.9223398890569844,0.9068954594433822
False,20,0.05,,mnist_replay.csv,1,,False,False,True,False,0.9697399527186761,0.9162585700293829,0.9007470651013874,0.8947633434038268,0.9420070600100857,0.9247031982526718
False,20,0.05,,mnist_replay.csv,1,1,False,False,True,True,0.9290780141843972,0.9074436826640548,0.9151547491995731,0.8912386706948641,0.9495713565305093,0.9184972946546797
False,20,0.05,,mnist_replay.csv,1,1,False,False,True,False,0.9773049645390071,0.9069539666993144,0.9172892209178228,0.8816717019133937,0.9349470499243571,0.9236333807987791
False,20,0.05,,mnist_replay.csv,1,2,False,False,True,True,0.9735224586288416,0.895690499510284,0.8911419423692636,0.8972809667673716,0.9021684316691881,0.9119608597889897
False,20,0.05,,mnist_replay.csv,1,2,False,False,True,False,0.9664302600472813,0.8903036238981391,0.9071504802561366,0.8982880161127895,0.9087241553202219,0.9141793071269136
False,20,0.05,,mnist_replay.csv,4,,False,False,True,True,0.9749408983451536,0.9035259549461312,0.8954108858057631,0.8872104733131924,0.8986384266263238,0.9119453278073127
False,20,0.05,,mnist_replay.csv,4,,False,False,True,False,0.9782505910165484,0.9133202742409402,0.9092849519743863,0.918932527693857,0.9147755925365607,0.9269127874924585
False,20,0.05,,mnist_replay.csv,4,1,False,False,True,True,0.975886524822695,0.901077375122429,0.9258271077908218,0.9169184290030211,0.8789712556732224,0.919736138482438
False,20,0.05,,mnist_replay.csv,4,1,False,False,True,False,0.966903073286052,0.8947110675808031,0.919957310565635,0.9083585095669687,0.9450327786182552,0.9269925479235429
False,20,0.05,,mnist_replay.csv,4,2,False,False,True,True,0.9702127659574468,0.9113614103819785,0.8890074706510138,0.8131923464249748,0.8925869894099848,0.8952721965650797
False,20,0.05,,mnist_replay.csv,4,2,False,False,True,False,0.9725768321513002,0.8991185112634672,0.919957310565635,0.9214501510574018,0.9183055975794251,0.9262816805234457
False,20,0.1,,mnist_replay.csv,1,,False,False,True,True,0.9820330969267139,0.9529872673849168,0.9295624332977588,0.9345417925478349,0.9450327786182552,0.948831473755096
False,20,0.1,,mnist_replay.csv,1,,False,False,True,False,0.9744680851063829,0.9534769833496572,0.9418356456776947,0.8942598187311178,0.9415027735753908,0.9411086612880487
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,True,0.9810874704491725,0.9319294809010774,0.9375667022411953,0.9083585095669687,0.8814926878466969,0.9280869702010222
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,False,0.9791962174940898,0.9476003917727718,0.9140875133404482,0.9380664652567976,0.8860312657589511,0.9329963707246117
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,True,0.9773049645390071,0.9373163565132223,0.9279615795090715,0.879154078549849,0.8340897629853757,0.9111653484193051
False,20,0.1,,mnist_replay.csv,1,2,False,False,True,False,0.9791962174940898,0.9294809010773751,0.935965848452508,0.9315206445115811,0.8855269793242562,0.932338118171962
False,20,0.1,,mnist_replay.csv,4,,False,False,True,True,0.9763593380614657,0.9343780607247796,0.9343649946638207,0.9199395770392749,0.908219868885527,0.9346523678749736
False,20,0.1,,mnist_replay.csv,4,,False,False,True,False,0.9810874704491725,0.944662095984329,0.9055496264674493,0.9008056394763343,0.9445284921835603,0.9353266649121691
False,20,0.1,,mnist_replay.csv,4,1,False,False,True,True,0.9754137115839243,0.921645445641528,0.9386339381003201,0.9415911379657603,0.9379727685325264,0.9430514003648118
False,20,0.1,,mnist_replay.csv,4,1,False,False,True,False,0.975886524822695,0.9329089128305583,0.9514407684098186,0.9073514602215509,0.8814926878466969,0.9298160708262639
False,20,0.1,,mnist_replay.csv,4,2,False,False,True,True,0.9782505910165484,0.9392752203721841,0.928495197438634,0.9083585095669687,0.8885526979324256,0.9285864432653522
False,20,0.1,,mnist_replay.csv,4,2,False,False,True,False,0.9777777777777777,0.9417238001958864,0.9397011739594451,0.9264853977844915,0.8835098335854765,0.9338395966606156
False,20,0.2,,mnist_replay.csv,1,,False,False,True,True,0.983451536643026,0.9676787463271302,0.9610458911419424,0.9204431017119838,0.875441250630358,0.9416121052908881
False,20,0.2,,mnist_replay.csv,1,,False,False,True,False,0.9858156028368794,0.965230166503428,0.9434364994663821,0.9511581067472307,0.9162884518406454,0.9523857654789131
False,20,0.2,,mnist_replay.csv,1,1,False,False,True,True,0.9895981087470449,0.9632713026444663,0.9535752401280683,0.9355488418932527,0.8618255168935955,0.9407638020612856
False,20,0.2,,mnist_replay.csv,1,1,False,False,True,False,0.9881796690307328,0.960822722820764,0.9471718249733191,0.9264853977844915,0.8477054967221381,0.9340730222662892
False,20,0.2,,mnist_replay.csv,1,2,False,False,True,True,0.9895981087470449,0.9539666993143977,0.9332977588046958,0.9003021148036254,0.9193141704488149,0.9392957704237157
False,20,0.2,,mnist_replay.csv,1,2,False,False,True,False,0.9905437352245863,0.9603330068560235,0.9450373532550693,0.9128902316213494,0.8512355017650025,0.9320079657444064
False,20,0.2,,mnist_replay.csv,4,,False,False,True,True,0.9843971631205674,0.955435847208619,0.9445037353255069,0.9340382678751259,0.897125567322239,0.9431001161704117
False,20,0.2,,mnist_replay.csv,4,,False,False,True,False,0.9886524822695035,0.960822722820764,0.9493062966915689,0.9023162134944612,0.8804841149773072,0.9363163660507208
False,20,0.2,,mnist_replay.csv,4,1,False,False,True,True,0.9810874704491725,0.9622918707149853,0.9423692636072573,0.932527693856999,0.789712556732224,0.9215977710721276
False,20,0.2,,mnist_replay.csv,4,1,False,False,True,False,0.9858156028368794,0.9715964740450539,0.9573105656350054,0.9305135951661632,0.7160867372667675,0.9122645949899738
False,20,0.2,,mnist_replay.csv,4,2,False,False,True,True,0.9900709219858156,0.9520078354554359,0.9034151547491995,0.8801611278952669,0.8446797781139688,0.9140669636399373
False,20,0.2,,mnist_replay.csv,4,2,False,False,True,False,0.9905437352245863,0.9569049951028403,0.9525080042689434,0.9284994964753273,0.7962682803832577,0.9249449022909909
False,20,0.1,,mnist_replay.csv,1,,False,False,True,True,0.9825059101654846,0.5734573947110676,0.8175026680896478,0.6666666666666666,0.9752899646999496,0.8030845208665631
False,20,0.1,,mnist_replay.csv,1,,False,False,True,False,0.983451536643026,0.5969637610186092,0.8105656350053362,0.6173212487411883,0.9813414019162885,0.7979287166648896
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,True,0.9820330969267139,0.46865817825661116,0.6894343649946638,0.46576032225579056,0.983358547655068,0.7178489020177694
False,20,0.1,,mnist_replay.csv,1,1,False,False,True,False,0.9877068557919622,0.6890303623898139,0.7390608324439701,0.9159113796576033,0.9712556732223904,0.8605930207011478
