verbose,epochs,replay_rate,threshold,save_to_file,num_centers,lamb,select_sample,conditional_train,conditional_prediction,same_initial,memory_span,Task 0,Task 1,Task 2,Task 3,Task 4,Average
False,20,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.8822695035460993,0.0,0.0,0.0,0.0,0.17645390070921987
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.0,0.0,0.22785485592315902,0.9420946626384693,0.9652042360060514,0.42703075091353593
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.3404255319148936,0.24583741429970618,0.14461045891141944,0.9239677744209466,0.989409984871407,0.5288502328836746
False,20,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.06950354609929078,0.07639569049951028,0.1328708644610459,0.9501510574018127,0.9904185577407968,0.44386794324049134
False,20,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.0,0.0,0.2209178228388474,0.9481369587109768,0.9662128088754413,0.4270535180850531
False,20,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,2,0.950354609929078,0.0,0.0,0.0,0.0,0.1900709219858156
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,2,0.0,0.0,0.0,0.0,0.9838628340897629,0.19677256681795258
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,2,0.5621749408983452,0.37071498530852104,0.9018143009605123,0.9249748237663645,0.962178517397882,0.744371513666325
False,20,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,2,0.315839243498818,0.31390793339862877,0.8868729989327642,0.9436052366565961,0.9626828038325769,0.6845816432638767
False,20,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,2,0.0,0.0,0.0,0.0,0.9838628340897629,0.19677256681795258
False,20,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,3,0.983451536643026,0.0,0.0,0.0,0.0,0.1966903073286052
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,3,0.0,0.0,0.0,0.0,0.9793242561775088,0.19586485123550176
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,3,0.757919621749409,0.9285014691478942,0.8564567769477054,0.9501510574018127,0.9389813414019162,0.8864020533297475
False,20,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,3,0.649645390070922,0.920666013712047,0.848452508004269,0.9582074521651561,0.9389813414019162,0.863190541070862
False,20,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,3,0.0,0.0,0.0,0.0,0.9793242561775088,0.19586485123550176
False,20,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,4,0.9919621749408983,0.0,0.0,0.0,0.0,0.19839243498817966
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,4,0.0,0.0,0.0,0.0,0.9803328290468987,0.19606656580937973
False,20,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,4,0.9801418439716312,0.9299706170421156,0.9050160085378869,0.9375629405840886,0.9520927887039838,0.9409568397679411
False,20,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,4,0.9739952718676123,0.9226248775710089,0.9039487726787621,0.9451158106747231,0.9520927887039838,0.9395555042992179
False,20,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,4,0.0,0.0,0.0,0.0,0.9803328290468987,0.19606656580937973
False,20,0.2,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.8893617021276595,0.0,0.0,0.0,0.0,0.1778723404255319
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.0,0.05729676787463271,0.07417289220917823,0.9335347432024169,0.978315683308119,0.40866401731886937
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.3078014184397163,0.2810969637610186,0.19156883671291355,0.918429003021148,0.9808371154815936,0.5359466674832781
False,20,0.2,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.03687943262411347,0.06464250734573947,0.17556029882604055,0.9692849949647533,0.9823499747856783,0.44574344170926505
False,20,0.2,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.0,0.05533790401567091,0.07630736392742796,0.9355488418932527,0.978315683308119,0.4091019586288941
False,20,0.2,,span_mnist.csv,1,,False,True,plain_prediction,False,2,0.9366430260047282,0.0,0.0,0.0,0.0,0.18732860520094563
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,2,0.0,0.0,0.0,0.0,0.9798285426122038,0.19596570852244075
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_prediction,False,2,0.5574468085106383,0.33986287952987265,0.9044823906083245,0.9340382678751259,0.9596570852244075,0.7390974863496738
False,20,0.2,,span_mnist.csv,1,,False,True,contion_by_others,False,2,0.4004728132387707,0.28697355533790403,0.9028815368196371,0.9410876132930514,0.9596570852244075,0.6982145207827541
False,20,0.2,,span_mnist.csv,1,,False,True,converse_prediction,False,2,0.0,0.0,0.0,0.0,0.9798285426122038,0.19596570852244075
False,20,0.2,,span_mnist.csv,1,,False,True,plain_prediction,False,3,0.9730496453900709,0.0,0.0,0.0,0.0,0.19460992907801417
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,3,0.0,0.0,0.0,0.0,0.9788199697428139,0.19576399394856278
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_prediction,False,3,0.7361702127659574,0.9382957884427032,0.9087513340448239,0.9536757301107754,0.9470499243570348,0.896788597944259
False,20,0.2,,span_mnist.csv,1,,False,True,contion_by_others,False,3,0.700709219858156,0.9270323212536729,0.9018143009605123,0.9632426988922457,0.9485627836611196,0.8882722649251413
False,20,0.2,,span_mnist.csv,1,,False,True,converse_prediction,False,3,0.0,0.0,0.0,0.0,0.9788199697428139,0.19576399394856278
False,20,0.2,,span_mnist.csv,1,,False,True,plain_prediction,False,4,0.9919621749408983,0.0,0.0,0.0,0.0,0.19839243498817966
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,4,0.0,0.0,0.0,0.0,0.9838628340897629,0.19677256681795258
False,20,0.2,,span_mnist.csv,1,,False,True,conditional_prediction,False,4,0.9810874704491725,0.9373163565132223,0.9354322305229456,0.9390735146022156,0.9435199193141705,0.9472858982803454
False,20,0.2,,span_mnist.csv,1,,False,True,contion_by_others,False,4,0.9768321513002364,0.9265426052889324,0.935965848452508,0.946122860020141,0.9435199193141705,0.9457966768751976
False,20,0.2,,span_mnist.csv,1,,False,True,converse_prediction,False,4,0.0,0.0,0.0,0.0,0.9838628340897629,0.19677256681795258
False,5,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.9739952718676123,0.0,0.0,0.0,0.0,0.19479905437352246
False,5,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.030732860520094562,0.039666993143976495,0.052294557097118465,0.9425981873111783,0.9899142713061019,0.41104137387569395
False,5,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.6557919621749408,0.3232125367286974,0.15955176093916756,0.8016112789526687,0.9752899646999496,0.5830915006990848
False,5,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.07423167848699763,0.20029382957884426,0.20490928495197439,0.9748237663645518,0.9793242561775088,0.48671656311197536
False,5,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.027423167848699765,0.039666993143976495,0.052294557097118465,0.9441087613293051,0.9899142713061019,0.4106815501450403
False,5,0.2,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.9744680851063829,0.0,0.0,0.0,0.0,0.19489361702127658
False,5,0.2,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.00425531914893617,0.030852105778648383,0.02294557097118463,0.9098690835850957,0.988905698436712,0.3913655555841154
False,5,0.2,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.5635933806146572,0.2899118511263467,0.14834578441835647,0.8182275931520645,0.9742813918305597,0.5588720002283969
False,5,0.2,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.14468085106382977,0.20861900097943192,0.18890074706510138,0.9702920443101712,0.9803328290468987,0.49856509449308656
False,5,0.2,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.00425531914893617,0.030852105778648383,0.02294557097118463,0.9098690835850957,0.988905698436712,0.3913655555841154
False,1,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.991016548463357,0.0,0.0,0.0,0.0,0.1982033096926714
False,1,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.0,0.0,0.0,0.0,0.9757942511346445,0.1951588502269289
False,1,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.4851063829787234,0.21890303623898139,0.08591248665955176,0.7603222557905337,0.9515885022692889,0.5003665327874158
False,1,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.05484633569739953,0.10773751224289912,0.14300960512273211,0.9607250755287009,0.9596570852244075,0.44519512276322787
False,1,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.0,0.0,0.0,0.0,0.9757942511346445,0.1951588502269289
False,1,0.2,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.9820330969267139,0.0,0.0,0.0,0.0,0.1964066193853428
False,1,0.2,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.0,0.0,0.0,0.0,0.9732728189611699,0.19465456379223398
False,1,0.2,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.3375886524822695,0.23898139079333985,0.06616862326574173,0.7316213494461229,0.9520927887039838,0.4652905609382915
False,1,0.2,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.02364066193853428,0.14299706170421156,0.10885805763073639,0.9531722054380665,0.961674230963187,0.43806844353494717
False,1,0.2,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.0,0.0,0.0,0.0,0.9732728189611699,0.19465456379223398
False,1,0.1,,span_mnist.csv,1,,False,True,plain_prediction,False,1,0.9886524822695035,0.0,0.0,0.0,0.0,0.1977304964539007
False,1,0.1,,span_mnist.csv,1,,False,True,conditional_converse_prediction,False,1,0.0,0.0,0.0,0.0,0.9778113968734241,0.19556227937468482
False,1,0.1,,span_mnist.csv,1,,False,True,conditional_prediction,False,1,0.5111111111111111,0.1762977473065622,0.096051227321238,0.6636455186304129,0.9531013615733737,0.4800413931885396
False,1,0.1,,span_mnist.csv,1,,False,True,contion_by_others,False,1,0.06052009456264775,0.1278158667972576,0.14514407684098185,0.9577039274924471,0.961674230963187,0.4505716393313043
False,1,0.1,,span_mnist.csv,1,,False,True,converse_prediction,False,1,0.29314420803782504,0.3188050930460333,0.22358591248665954,0.9179254783484391,0.8951084215834594,0.5297138227004832
False,1,0.1,,span_mnist.csv,1,1,False,True,plain_prediction,False,1,0.9843971631205674,0.0,0.0,0.0,0.0,0.19687943262411348
False,1,0.1,,span_mnist.csv,1,1,False,True,conditional_converse_prediction,False,1,0.0,0.0,0.0,0.0,0.9722642460917801,0.194452849218356
False,1,0.1,,span_mnist.csv,1,1,False,True,conditional_prediction,False,1,0.4066193853427896,0.2644466209598433,0.06456776947705443,0.7739174219536757,0.9480584972264247,0.4915219389919575
False,1,0.1,,span_mnist.csv,1,1,False,True,contion_by_others,False,1,0.03735224586288416,0.11116552399608227,0.14781216648879403,0.9511581067472307,0.9591527987897126,0.44132816837694067
False,1,0.1,,span_mnist.csv,1,1,False,True,converse_prediction,False,1,0.1900709219858156,0.2629774730656219,0.25240128068303097,0.9078549848942599,0.8850226928895613,0.49966547070365797
False,1,0.1,,span_mnist.csv,1,2,False,True,plain_prediction,False,1,0.9858156028368794,0.0,0.0,0.0,0.0,0.1971631205673759
False,1,0.1,,span_mnist.csv,1,2,False,True,conditional_converse_prediction,False,1,0.0,0.0,0.0,0.0,0.9757942511346445,0.1951588502269289
False,1,0.1,,span_mnist.csv,1,2,False,True,conditional_prediction,False,1,0.3768321513002364,0.20470127326150833,0.07577374599786553,0.7260825780463243,0.9596570852244075,0.46860936676606835
